Market,Selection,BidType,Odds,Stake,ProfitLoss,Date 
26 October   / West Ham v Chelsea / Match Odds,West Ham,Lay,2.1,9,-9.9,10/26/2016
29 October   / C Palace v Liverpool / Match Odds,C Palace,Back,15.5,0.85,-0.85,10/29/2016
29 October   / C Palace v Liverpool / Match Odds,Liverpool,Lay,1.3,28.97,-8.69,10/29/2016
29 October   / Toulouse v Lyon / Match Odds,Lyon,Lay,1.78,15,-11.7,10/29/2016
29 October   / C Palace v Liverpool / Match Odds,Liverpool,Back,1.77,8,6.16,10/29/2016
29 October   / Spartak Moscow v CSKA Moscow / Match Odds,Spartak Moscow,Lay,1.41,21,-8.61,10/29/2016
29 October   / Man Utd v Burnley / Match Odds,Man Utd,Lay,2.44,13.14,13.14,10/29/2016
29 October   / Man Utd v Burnley / Match Odds,Man Utd,Back,1.63,20,-20,10/29/2016
29 October   / Amkar v Rostov / Match Odds,Amkar,Lay,1.27,5,-1.35,10/29/2016
29 October   / Amkar v Rostov / Match Odds,Amkar,Lay,1.28,10,-2.8,10/29/2016
29 October   / Amkar v Rostov / Match Odds,Amkar,Lay,2.38,10,-13.8,10/29/2016
29 October   / C Palace v Liverpool / Match Odds,The Draw,Back,4,3,-3,10/29/2016
29 October   / C Palace v Liverpool / Match Odds,Liverpool,Back,1.79,20,15.8,10/29/2016
30 October   / Anzhi Makhachkala v FK Krasnodar / Match Odds,Anzhi Makhachkala,Back,2.1,14.28,-14.28,10/30/2016
30 October   / Anzhi Makhachkala v FK Krasnodar / Match Odds,Anzhi Makhachkala,Lay,3.75,8,8,10/30/2016
30 October   / Nice v Nantes / Over/Under 2.5 Goals,Under 2.5 Goals,Back,4.6,5.12,-5.12,10/30/2016
30 October   / Nice v Nantes / Match Odds,Nantes,Back,60,0.49,-0.49,10/30/2016
30 October   / Nice v Nantes / Match Odds,Nantes,Back,11.5,2,-2,10/30/2016
30 October   / Nice v Nantes / Over/Under 2.5 Goals,Under 2.5 Goals,Back,2.78,4,-4,10/30/2016
30 October   / Eibar v Villarreal / Match Odds,Eibar,Back,7.6,0.37,2.44,10/30/2016
30 October   / Eibar v Villarreal / Match Odds,Eibar,Back,16.5,2,31,10/30/2016
30 October   / Nice v Nantes / Over/Under 2.5 Goals,Over 2.5 Goals,Back,2.28,15,19.2,10/30/2016
30 October   / Nice v Nantes / Match Odds,Nantes,Lay,5,10,10,10/30/2016
30 October   / Eibar v Villarreal / Match Odds,Eibar,Lay,3.25,11,-24.75,10/30/2016
01 November  / Atletico Madrid v Rostov / Match Odds,Atletico Madrid,Lay,1.01,34,-0.34,11/1/2016
01 November  / Ludogorets v Arsenal / Match Odds,The Draw,Lay,16.5,0.15,0.15,11/1/2016
01 November  / Ludogorets v Arsenal / Match Odds,Arsenal,Lay,1.08,18.82,-1.51,11/1/2016
01 November  / Benfica v Dynamo Kiev / Match Odds,Benfica,Lay,1.14,6,-0.84,11/1/2016
01 November  / Mgladbach v Celtic / Match Odds,Mgladbach,Back,5.2,2,-2,11/1/2016
01 November  / Benfica v Dynamo Kiev / Match Odds,Benfica,Lay,1.21,5,-1.05,11/1/2016
01 November  / Benfica v Dynamo Kiev / Match Odds,Benfica,Lay,1.23,4,-0.92,11/1/2016
01 November  / Ludogorets v Arsenal / Match Odds,Ludogorets,Back,10,3,-3,11/1/2016
01 November  / Man City v Barcelona / Match Odds,The Draw,Back,4.2,2,-2,11/1/2016
01 November  / Man City v Barcelona / Match Odds,Man City,Lay,1.57,4,-2.28,11/1/2016
01 November  / Mgladbach v Celtic / Match Odds,Mgladbach,Lay,1.22,9,9,11/1/2016
01 November  / Benfica v Dynamo Kiev / Match Odds,The Draw,Back,5.2,3,-3,11/1/2016
01 November  / FC Basel v Paris St-G / Match Odds,Paris St-G,Lay,1.16,35.47,-5.68,11/1/2016
01 November  / Man City v Barcelona / Match Odds,Barcelona,Back,2.9,3,-3,11/1/2016
01 November  / Ludogorets v Arsenal / Match Odds,The Draw,Back,3.4,4,-4,11/1/2016
01 November  / Man City v Barcelona / Match Odds,Man City,Back,7.6,3,19.8,11/1/2016
01 November  / Ludogorets v Arsenal / Match Odds,Ludogorets,Lay,1.95,10,10,11/1/2016
01 November  / Man City v Barcelona / Match Odds,Barcelona,Back,2.72,3,-3,11/1/2016
01 November  / Man City v Barcelona / Match Odds,Man City,Lay,2.76,5,-8.8,11/1/2016
01 November  / Ludogorets v Arsenal / Match Odds,Arsenal,Back,1.41,22,9.02,11/1/2016
01 November  / Benfica v Dynamo Kiev / Match Odds,Benfica,Back,1.65,20,13,11/1/2016
01 November  / FC Basel v Paris St-G / Match Odds,Paris St-G,Back,1.66,25,16.5,11/1/2016
01 November  / Man City v Barcelona / Match Odds,Man City,Lay,2.86,10,-18.6,11/1/2016
02 November  / Legia Warsaw v Real Madrid / Match Odds,Real Madrid,Back,1.58,18,-18,11/2/2016
02 November  / FC Copenhagen v Leicester / Match Odds,FC Copenhagen,Back,2.52,9.67,-9.67,11/2/2016
02 November  / Monaco v CSKA Moscow / Match Odds,Monaco,Lay,1.23,9,-2.07,11/2/2016
02 November  / Legia Warsaw v Real Madrid / Match Odds,Real Madrid,Lay,1.06,50,50,11/2/2016
02 November  / FC Copenhagen v Leicester / Match Odds,FC Copenhagen,Lay,2.4,2,2,11/2/2016
02 November  / FC Copenhagen v Leicester / Match Odds,FC Copenhagen,Lay,2.4,8,8,11/2/2016
03 November  / Nice v Red Bull Salzburg / Match Odds,Nice,Back,3.5,3,-3,11/3/2016
03 November  / Ajax v Celta Vigo / Match Odds,Ajax,Lay,1.29,11,-3.19,11/3/2016
03 November  / Nice v Red Bull Salzburg / Match Odds,Red Bull Salzburg,Back,4,12.27,36.81,11/3/2016
03 November  / Gent v Shakhtar / Match Odds,Gent,Back,12.74,3.79,-3.79,11/3/2016
03 November  / Gent v Shakhtar / Match Odds,Gent,Back,4.2,3,-3,11/3/2016
03 November  / Gent v Shakhtar / Match Odds,Gent,Lay,2.1,7,7,11/3/2016
03 November  / Zenit St Petersburg v Dundalk / Match Odds,Zenit St Petersburg,Lay,1.06,12.44,-0.75,11/3/2016
03 November  / Zenit St Petersburg v Dundalk / Match Odds,Zenit St Petersburg,Back,2.22,6,7.32,11/3/2016
03 November  / Nice v Red Bull Salzburg / Match Odds,Red Bull Salzburg,Lay,4.9,5,-19.5,11/3/2016
03 November  / Nice v Red Bull Salzburg / Match Odds,Red Bull Salzburg,Lay,4.8,5,-19,11/3/2016
03 November  / Gent v Shakhtar / Match Odds,Gent,Lay,4.19,6,6,11/3/2016
03 November  / Gent v Shakhtar / Match Odds,Gent,Lay,4.1,4,4,11/3/2016
05 November  / Bournemouth v Sunderland / Match Odds,Sunderland,Lay,1.45,9,-4.05,11/5/2016
05 November  / Bournemouth v Sunderland / Match Odds,Sunderland,Lay,1.57,9,-5.13,11/5/2016
05 November  / Sociedad v Atletico Madrid / Match Odds,Sociedad,Lay,1.85,14,-11.9,11/5/2016
05 November  / Sociedad v Atletico Madrid / Match Odds,Sociedad,Lay,6,6,-30,11/5/2016
06 November  / FK Krasnodar v FC Orenburg / Match Odds,FC Orenburg,Lay,1.48,2.28,2.28,11/6/2016
06 November  / FK Krasnodar v FC Orenburg / Match Odds,FC Orenburg,Back,100,0.69,-0.69,11/6/2016
06 November  / Celta Vigo v Valencia / Match Odds,Valencia,Back,3.4,4.38,-4.38,11/6/2016
06 November  / Celta Vigo v Valencia / Match Odds,Valencia,Lay,1.56,9,9,11/6/2016
