Market,Selection,BidType,Odds,Stake,ProfitLoss,Date 
15 January   / Celta Vigo v Alaves / Match Odds,Celta Vigo,Back,3.4,3,7.2,1/15/2017
15 January   / Celta Vigo v Alaves / Match Odds,Celta Vigo,Lay,1.05,24.46,-1.22,1/15/2017
15 January   / Everton v Man City / Match Odds,Man City,Back,1.89,5,-5,1/15/2017
15 January   / Everton v Man City / Match Odds,Everton,Lay,2.32,5,-6.6,1/15/2017
15 January   / Everton v Man City / Match Odds,Everton,Lay,2.24,3,-3.72,1/15/2017
15 January   / Everton v Man City / Match Odds,Everton,Lay,1.36,3,-1.08,1/15/2017
15 January   / Everton v Man City / Match Odds,Everton,Lay,1.33,2,-0.66,1/15/2017
15 January   / Everton v Man City / Match Odds,Everton,Lay,1.27,3,-0.81,1/15/2017
15 January   / Fiorentina v Juventus / 1st Goal,Fiorentina,Back,3.1,2,4.2,1/15/2017
15 January   / Fiorentina v Juventus / 1st Goal,Fiorentina,Lay,3.55,1.72,-4.39,1/15/2017
15 January   / Fiorentina v Juventus / Match Odds,Fiorentina,Lay,1.69,3,-2.07,1/15/2017
15 January   / Fiorentina v Juventus / Match Odds,Fiorentina,Lay,1.66,3,-1.98,1/15/2017
15 January   / Fiorentina v Juventus / Match Odds,Fiorentina,Lay,1.55,2,-1.1,1/15/2017
15 January   / Fiorentina v Juventus / Match Odds,Fiorentina,Lay,1.27,3,-0.81,1/15/2017
15 January   / Lazio v Atalanta / Half Time,Atalanta,Lay,1.19,5,5,1/15/2017
15 January   / Lazio v Atalanta / Half Time,Atalanta,Lay,1.07,3,3,1/15/2017
15 January   / Lazio v Atalanta / Half Time,The Draw,Lay,1.06,8.48,-0.51,1/15/2017
15 January   / Lazio v Atalanta / Over/Under 2.5 Goals,Over 2.5 Goals,Back,2.5,4,6,1/15/2017
15 January   / Lazio v Atalanta / Over/Under 2.5 Goals,Over 2.5 Goals,Lay,1.44,2,-0.88,1/15/2017
15 January   / Man Utd v Liverpool / Match Odds,Liverpool,Lay,1.33,3,3,1/15/2017
15 January   / Man Utd v Liverpool / Match Odds,Liverpool,Back,9.6,0.43,-0.43,1/15/2017
15 January   / Napoli v Pescara / Half Time,Napoli,Back,3.95,2,-2,1/15/2017
15 January   / Nice v Metz / Match Odds,Nice,Back,1.66,6,-6,1/15/2017
15 January   / Nice v Metz / Match Odds,Nice,Lay,1.78,5.59,5.59,1/15/2017
15 January   / Nice v Metz / Match Odds,Nice,Back,2.28,4,-4,1/15/2017
15 January   / Nice v Metz / Match Odds,Nice,Lay,3.3,2.64,2.64,1/15/2017
15 January   / Sampdoria v Empoli / Match Odds,Empoli,Back,5.2,2,-2,1/15/2017
15 January   / Sampdoria v Empoli / Match Odds,Empoli,Lay,9.8,1.04,1.04,1/15/2017
15 January   / Sevilla v Real Madrid / Over/Under 2.5 Goals,Over 2.5 Goals,Back,1.51,8,4.08,1/15/2017
15 January   / Sevilla v Real Madrid / Over/Under 2.5 Goals,Under 2.5 Goals,Back,1.99,6.1,-6.1,1/15/2017
16 January   / Malaga v Sociedad / Match Odds,Sociedad,Back,3.2,3,6.6,1/16/2017
16 January   / Malaga v Sociedad / Match Odds,Sociedad,Lay,1.49,3,-1.47,1/16/2017
16 January   / Malaga v Sociedad / Match Odds,Sociedad,Lay,1.49,3.42,-1.68,1/16/2017
16 January   / Torino v AC Milan / Match Odds,Torino,Lay,1.2,5,5,1/16/2017
16 January   / Torino v AC Milan / Match Odds,Torino,Lay,1.2,5,5,1/16/2017
16 January   / Torino v AC Milan / Match Odds,Torino,Back,1.59,7.74,-7.74,1/16/2017
16 January   / Torino v AC Milan / Match Odds,Torino,Lay,1.6,4,4,1/16/2017
16 January   / Torino v AC Milan / Match Odds,Torino,Back,3.95,1.54,-1.54,1/16/2017
16 January   / Torino v AC Milan / Match Odds,The Draw,Lay,1.22,2,-0.44,1/16/2017
16 January   / Torino v AC Milan / Match Odds,The Draw,Back,1.11,2.2,0.24,1/16/2017
16 January   / Torino v AC Milan / Match Odds,The Draw,Lay,1.08,2,-0.16,1/16/2017
18 January / Real Madrid v Celta Vigo / Match Odds,Real Madrid,Back,1.54,4,-4,1/18/2017
18 January / Real Madrid v Celta Vigo / Match Odds,Real Madrid,Lay,4.3,1.43,1.43,1/18/2017
18 January / Real Madrid v Celta Vigo / Match Odds,Celta Vigo,Lay,1.74,2,-1.48,1/18/2017
18 January / Real Madrid v Celta Vigo / Match Odds,Celta Vigo,Lay,1.49,2,-0.98,1/18/2017
18 January / Real Madrid v Celta Vigo / Match Odds,Celta Vigo,Lay,1.27,3,-0.81,1/18/2017
21 January   / AC Milan v Napoli / Correct Score,1-2,Lay,1.3,3,-0.9,1/21/2017
21 January   / AC Milan v Napoli / Over/Under 2.5 Goals,Over 2.5 Goals,Back,1.85,4,3.4,1/21/2017
21 January   / AC Milan v Napoli / Over/Under 2.5 Goals,Over 2.5 Goals,Lay,1.09,4,-0.36,1/21/2017
21 January   / AC Milan v Napoli / Over/Under 2.5 Goals,Under 2.5 Goals,Back,8.2,0.38,-0.38,1/21/2017
21 January   / Alaves v Leganes / Match Odds,Leganes,Lay,3.9,3,3,1/21/2017
21 January   / Alaves v Leganes / Match Odds,The Draw,Lay,3.05,3.83,-7.85,1/21/2017
21 January   / Alaves v Leganes / Match Odds,Alaves,Lay,2.42,4.83,4.83,1/21/2017
21 January   / Augsburg v Hoffenheim / Match Odds,Augsburg,Lay,3.05,4,4,1/21/2017
21 January   / Augsburg v Hoffenheim / Match Odds,The Draw,Lay,95,0.12,0.12,1/21/2017
21 January   / Augsburg v Hoffenheim / Match Odds,Hoffenheim,Lay,1.02,11.84,-0.24,1/21/2017
21 January   / Bordeaux v Toulouse / Half Time,Bordeaux,Lay,1.11,9,-0.99,1/21/2017
21 January   / Chievo v Fiorentina / Over/Under 2.5 Goals,Under 2.5 Goals,Back,1.79,6,-6,1/21/2017
21 January   / Chievo v Fiorentina / Over/Under 2.5 Goals,Under 2.5 Goals,Lay,1.69,6.31,6.31,1/21/2017
21 January   / Dijon v Lille / Match Odds,Dijon,Back,10,2,-2,1/21/2017
21 January   / Guingamp v Rennes / Match Odds,Guingamp,Back,1.84,5,-5,1/21/2017
21 January   / Guingamp v Rennes / Match Odds,Guingamp,Back,1.82,2,-2,1/21/2017
21 January   / Guingamp v Rennes / Match Odds,Guingamp,Back,3.05,2,-2,1/21/2017
21 January   / Guingamp v Rennes / Over/Under 2.5 Goals,Over 2.5 Goals,Back,2.44,3,-3,1/21/2017
21 January   / Guingamp v Rennes / Over/Under 2.5 Goals,Over 2.5 Goals,Lay,6,1.18,1.18,1/21/2017
21 January   / SV Darmstadt v Mgladbach / Next Goal,Mgladbach,Back,1.78,2.02,-2.02,1/21/2017
21 January   / SV Darmstadt v Mgladbach / Next Goal,Mgladbach,Back,1.79,1.98,-1.98,1/21/2017
21 January   / SV Darmstadt v Mgladbach / Next Goal,Mgladbach,Back,2.54,2,-2,1/21/2017
21 January   / Villarreal v Valencia / Both teams to Score?,Yes,Back,1.9,3,-3,1/21/2017
21 January   / Villarreal v Valencia / Correct Score,0 - 2,Lay,1.25,4,-1,1/21/2017
21 January   / Villarreal v Valencia / Match Odds,Valencia,Lay,1.23,5,-1.15,1/21/2017
21 January   / Villarreal v Valencia / Match Odds,Villarreal,Lay,500,0.01,0.01,1/21/2017
21 January   / Villarreal v Valencia / Match Odds,The Draw,Lay,50,0.11,0.11,1/21/2017
21 January   / Werder Bremen v Dortmund / Match Odds,Dortmund,Back,1.67,3,2.01,1/21/2017
21 January   / Werder Bremen v Dortmund / Match Odds,Dortmund,Back,1.65,6,3.9,1/21/2017
21 January   / Werder Bremen v Dortmund / Match Odds,Dortmund,Lay,1.08,11,-0.88,1/21/2017
21 January   / Werder Bremen v Dortmund / Match Odds,Dortmund,Lay,1.01,2.97,-0.03,1/21/2017
21 January   / Wolfsburg v Hamburg / Match Odds,Wolfsburg,Back,1.54,6,3.24,1/21/2017
21 January   / Wolfsburg v Hamburg / Match Odds,Wolfsburg,Back,1.66,2,1.32,1/21/2017
21 January   / Wolfsburg v Hamburg / Match Odds,Wolfsburg,Back,2.2,2,2.4,1/21/2017
21 January   / Wolfsburg v Hamburg / Match Odds,Wolfsburg,Lay,1.1,10,-1,1/21/2017
21 January   / Wolfsburg v Hamburg / Match Odds,Wolfsburg,Lay,1.08,5.46,-0.44,1/21/2017
21 January / Bournemouth v Watford / Match Odds,Bournemouth,Back,2.06,4,-4,1/21/2017
21 January / Bournemouth v Watford / Match Odds,Watford,Lay,2.16,2,2,1/21/2017
21 January / Bournemouth v Watford / Match Odds,Bournemouth,Lay,2.5,3.26,3.26,1/21/2017
21 January / Bournemouth v Watford / Match Odds,Watford,Back,5.6,0.8,-0.8,1/21/2017
21 January / Bournemouth v Watford / Match Odds,Watford,Lay,1.48,2,2,1/21/2017
21 January / Bournemouth v Watford / Match Odds,Bournemouth,Lay,5.6,0.5,0.5,1/21/2017
21 January / Bournemouth v Watford / Match Odds,The Draw,Lay,1.46,1.91,-0.88,1/21/2017
21 January / Bournemouth v Watford / Over/Under 2.5 Goals,Over 2.5 Goals,Back,2,3,3,1/21/2017
21 January / C Palace v Everton / Match Odds,Everton,Back,2.59,4,6.37,1/21/2017
21 January / C Palace v Everton / Match Odds,Everton,Lay,1.13,9.09,-1.18,1/21/2017
21 January / Liverpool v Swansea / Half Time,The Draw,Lay,1.33,3,-0.99,1/21/2017
21 January / Liverpool v Swansea / Half Time,The Draw,Lay,1.2,5,-1,1/21/2017
21 January / Liverpool v Swansea / Match Odds,Liverpool,Back,1.52,4,-4,1/21/2017
21 January / Stoke v Man Utd / Half Time,Stoke,Lay,1.23,5,-1.15,1/21/2017
21 January / Stoke v Man Utd / Half Time,Stoke,Lay,1.22,5,-1.1,1/21/2017
21 January / Stoke v Man Utd / Match Odds,Man Utd,Back,1.62,6,-6,1/21/2017
21 January / Stoke v Man Utd / Match Odds,Stoke,Lay,2.8,3,3,1/21/2017
21 January / Stoke v Man Utd / Match Odds,The Draw,Back,2.96,2,3.92,1/21/2017
21 January / Stoke v Man Utd / Match Odds,Stoke,Lay,1.5,2,2,1/21/2017
21 January / Stoke v Man Utd / Match Odds,Stoke,Lay,1.33,2,2,1/21/2017
21 January / Stoke v Man Utd / Match Odds,Man Utd,Lay,29,0.1,0.1,1/21/2017
21 January / Stoke v Man Utd / Match Odds,Stoke,Back,75,0.45,-0.45,1/21/2017
22 January   / Arsenal v Burnley / Half Time,Arsenal,Back,7,2,-2,1/22/2017
22 January   / Benfica v Tondela / Half Time,The Draw,Lay,1.25,4,-1,1/22/2017
22 January   / Betis v Sporting Gijon / Half Time,The Draw,Lay,1.2,5,-1,1/22/2017
22 January   / Betis v Sporting Gijon / Over/Under 1.5 Goals,Over 1.5 Goals,Back,3.1,3,-3,1/22/2017
22 January   / Betis v Sporting Gijon / Over/Under 2.5 Goals,Over 2.5 Goals,Back,2.92,3,-3,1/22/2017
22 January   / Bologna v Torino / Match Odds,Bologna,Lay,1.66,5,-3.3,1/22/2017
22 January   / Bologna v Torino / Match Odds,Bologna,Lay,1.36,2,-0.72,1/22/2017
22 January   / Braga v Guimaraes / Match Odds,Guimaraes,Lay,1.4,5,-2,1/22/2017
22 January   / Braga v Guimaraes / Match Odds,Guimaraes,Back,1.27,5.55,1.5,1/22/2017
22 January   / Lyon v Marseille / Half Time,Lyon,Back,5.9,2,9.8,1/22/2017
22 January   / Lyon v Marseille / Half Time,Lyon,Lay,1.03,10.92,-0.33,1/22/2017
22 January   / Lyon v Marseille / Match Odds,Marseille,Back,5,2,-2,1/22/2017
22 January   / Lyon v Marseille / Match Odds,Lyon,Lay,1.26,4,-1.04,1/22/2017
22 January   / Lyon v Marseille / Match Odds,Lyon,Lay,1.27,2,-0.54,1/22/2017
22 January   / Mainz v FC Koln / Half Time,The Draw,Lay,1.19,3,-0.57,1/22/2017
22 January   / Osasuna v Sevilla / Match Odds,Sevilla,Back,1.54,8,4.32,1/22/2017
22 January   / Osasuna v Sevilla / Match Odds,Sevilla,Back,2.62,2,3.24,1/22/2017
22 January   / Osasuna v Sevilla / Match Odds,Sevilla,Back,2.52,2,3.04,1/22/2017
22 January   / Osasuna v Sevilla / Match Odds,Sevilla,Lay,1.93,4,-3.72,1/22/2017
22 January   / Osasuna v Sevilla / Match Odds,Sevilla,Back,2.4,2,2.8,1/22/2017
22 January   / Osasuna v Sevilla / Match Odds,The Draw,Lay,1.81,2,2,1/22/2017
22 January   / Osasuna v Sevilla / Match Odds,Sevilla,Lay,1.15,11,-1.65,1/22/2017
22 January   / Osasuna v Sevilla / Match Odds,Sevilla,Lay,1.14,5,-0.7,1/22/2017
22 January   / Osasuna v Sevilla / Match Odds,Sevilla,Lay,1.1,2,-0.2,1/22/2017
22 January   / Palermo v Inter / Half Time,The Draw,Lay,1.24,4,-0.96,1/22/2017
22 January   / Palermo v Inter / Match Odds,Inter,Back,1.58,8,4.64,1/22/2017
22 January   / Palermo v Inter / Match Odds,Inter,Lay,1.16,8,-1.28,1/22/2017
22 January   / Palermo v Inter / Match Odds,Inter,Lay,1.13,2.94,-0.38,1/22/2017
22 January   / Roma v Cagliari / Half Time,Roma,Back,6.4,2,-2,1/22/2017
22 January   / Sociedad v Celta Vigo / Half Time,The Draw,Lay,1.2,5,-1,1/22/2017
22 January   / Sociedad v Celta Vigo / Over/Under 1.5 Goals,Over 1.5 Goals,Back,2.92,3,-3,1/22/2017
22 January   / Sociedad v Celta Vigo / Over/Under 1.5 Goals,Under 1.5 Goals,Back,1.98,4.46,4.37,1/22/2017
22 January   / Sociedad v Celta Vigo / Over/Under 1.5 Goals,Under 1.5 Goals,Lay,1.65,2,-1.3,1/22/2017
22 January   / Sociedad v Celta Vigo / Over/Under 1.5 Goals,Over 1.5 Goals,Lay,2.9,1.1,1.1,1/22/2017
22 January   / Sociedad v Celta Vigo / Over/Under 1.5 Goals,Under 1.5 Goals,Lay,1.14,2,-0.28,1/22/2017
22 January   / Sociedad v Celta Vigo / Over/Under 2.5 Goals,Over 2.5 Goals,Back,1.87,4,-4,1/22/2017
22 January   / Sociedad v Celta Vigo / Over/Under 2.5 Goals,Over 2.5 Goals,Back,1.87,2,-2,1/22/2017
22 January   / Sociedad v Celta Vigo / Over/Under 2.5 Goals,Over 2.5 Goals,Back,3.25,2,-2,1/22/2017
22 January   / St Etienne v Angers / Half Time,Angers,Lay,1.13,2,-0.26,1/22/2017
24 January   / Napoli v Fiorentina / Half Time,The Draw,Lay,1.18,5,-0.9,1/24/2017
24 January   / Napoli v Fiorentina / Half Time,The Draw,Lay,1.13,2,-0.25,1/24/2017
24 January   / Napoli v Fiorentina / Match Odds,Napoli,Back,2.22,2,2.44,1/24/2017
24 January   / Napoli v Fiorentina / Match Odds,Napoli,Lay,1.18,2,-0.36,1/24/2017
24 January   / Napoli v Fiorentina / Match Odds,Napoli,Lay,1.18,1.74,-0.31,1/24/2017
24 January   / Napoli v Fiorentina / Match Odds,Napoli,Lay,1.14,2.4,-0.34,1/24/2017
24 January   / Napoli v Fiorentina / Over/Under 2.5 Goals,Over 2.5 Goals,Back,1.87,3,-3,1/24/2017
24 January   / Napoli v Fiorentina / Over/Under 2.5 Goals,Over 2.5 Goals,Lay,5.4,1.01,1.01,1/24/2017
25 January   / Celta Vigo v Real Madrid / Half Time,Real Madrid,Back,5.77,2,-2,1/25/2017
25 January   / Celta Vigo v Real Madrid / Match Odds,Real Madrid,Back,1.77,3,-3,1/25/2017
25 January   / Celta Vigo v Real Madrid / Match Odds,Real Madrid,Back,1.73,3,-3,1/25/2017
25 January   / Celta Vigo v Real Madrid / Match Odds,Real Madrid,Lay,3.5,3,3,1/25/2017
25 January   / Celta Vigo v Real Madrid / Match Odds,Real Madrid,Back,2.38,3,-3,1/25/2017
25 January   / Celta Vigo v Real Madrid / Match Odds,Real Madrid,Back,3.25,2,-2,1/25/2017
25 January   / Celta Vigo v Real Madrid / Match Odds,Real Madrid,Back,3.55,2,-2,1/25/2017
25 January   / Celta Vigo v Real Madrid / Match Odds,Real Madrid,Back,3.8,2,-2,1/25/2017
25 January   / Celta Vigo v Real Madrid / Match Odds,The Draw,Lay,1.14,5,-0.7,1/25/2017
25 January   / Celta Vigo v Real Madrid / Match Odds,The Draw,Lay,1.15,5,-0.75,1/25/2017
25 January   / Eibar v Atletico Madrid / Match Odds,Atletico Madrid,Back,2.44,2,-2,1/25/2017
25 January   / Eibar v Atletico Madrid / Match Odds,Atletico Madrid,Lay,1.29,2,2,1/25/2017
25 January   / Eibar v Atletico Madrid / Match Odds,Atletico Madrid,Lay,1.17,1.94,1.94,1/25/2017
25 January   / Juventus v AC Milan / Both teams to Score?,Yes,Back,2.08,4,4.32,1/25/2017
25 January   / Juventus v AC Milan / Both teams to Score?,Yes,Lay,2.14,2,-2.28,1/25/2017
25 January   / Juventus v AC Milan / Next Goal,Juventus,Back,1.56,2,-2,1/25/2017
25 January   / Juventus v AC Milan / Next Goal,Juventus,Back,1.56,2,-2,1/25/2017
25 January   / Juventus v AC Milan / Next Goal,Juventus,Back,2.92,2,-2,1/25/2017
25 January / Liverpool v Southampton / Half Time,The Draw,Lay,1.16,5,-0.81,1/25/2017
25 January / Liverpool v Southampton / Match Odds,Liverpool,Back,1.73,4,-4,1/25/2017
25 January / Liverpool v Southampton / Match Odds,Liverpool,Back,2.3,2,-2,1/25/2017
25 January / Liverpool v Southampton / Match Odds,Liverpool,Back,2.78,2,-2,1/25/2017
25 January / Liverpool v Southampton / Match Odds,Liverpool,Back,4,2,-2,1/25/2017
25 January / Liverpool v Southampton / Match Odds,Southampton,Lay,1.01,10,-0.1,1/25/2017
26 January / Hull v Man Utd / Match Odds,Hull,Lay,2.32,3,-3.96,1/26/2017
26 January / Hull v Man Utd / Match Odds,Hull,Back,9.6,0.77,6.62,1/26/2017
26 January / Hull v Man Utd / Match Odds,Hull,Lay,1.34,0.31,-0.11,1/26/2017
26 January / Hull v Man Utd / Match Odds,Hull,Lay,1.17,5,-0.85,1/26/2017
27 January   / Schalke v Eintracht Frankfurt / Half Time,Eintracht Frankfurt,Lay,1.19,5,-0.95,1/27/2017
27 January   / Schalke v Eintracht Frankfurt / Half Time,Eintracht Frankfurt,Lay,1.11,2,-0.22,1/27/2017
27 January   / Schalke v Eintracht Frankfurt / Half Time,Eintracht Frankfurt,Lay,1.09,2,-0.18,1/27/2017
27 January   / Schalke v Eintracht Frankfurt / Match Odds,Eintracht Frankfurt,Lay,1.88,4,-3.52,1/27/2017
28 January   / Alaves v Atletico Madrid / Match Odds,The Draw,Lay,1.29,3,-0.87,1/28/2017
28 January   / Alaves v Atletico Madrid / Match Odds,The Draw,Back,1.33,2.95,0.97,1/28/2017
28 January   / Alaves v Atletico Madrid / Match Odds,The Draw,Lay,1.22,2,-0.44,1/28/2017
28 January   / Eibar v Deportivo / Match Odds,Eibar,Lay,1.32,6,-1.92,1/28/2017
28 January   / Estoril Praia v Porto / Match Odds,Porto,Back,1.55,6,3.3,1/28/2017
28 January   / Estoril Praia v Porto / Match Odds,Porto,Back,1.82,3,2.46,1/28/2017
28 January   / Estoril Praia v Porto / Match Odds,Porto,Back,2.08,3,3.24,1/28/2017
28 January   / Estoril Praia v Porto / Match Odds,Porto,Back,2.46,2,2.92,1/28/2017
28 January   / Estoril Praia v Porto / Match Odds,Porto,Back,2.64,2,3.28,1/28/2017
28 January   / Estoril Praia v Porto / Match Odds,Porto,Lay,1.08,28.62,-2.29,1/28/2017
28 January   / Lazio v Chievo / Half Time,The Draw,Lay,1.31,6,-1.86,1/28/2017
28 January   / Lazio v Chievo / Half Time,The Draw,Lay,1.19,5,-0.95,1/28/2017
28 January   / Lazio v Chievo / Match Odds,Lazio,Back,1.81,3,-3,1/28/2017
28 January   / Lazio v Chievo / Match Odds,Lazio,Back,1.97,2,-2,1/28/2017
28 January   / Lazio v Chievo / Match Odds,Lazio,Back,2.28,3,-3,1/28/2017
28 January   / Lazio v Chievo / Match Odds,Lazio,Back,4.7,2,-2,1/28/2017
28 January   / Lazio v Chievo / Match Odds,Chievo,Lay,1.21,5,-1.05,1/28/2017
28 January   / Lazio v Chievo / Match Odds,Chievo,Lay,1.1,5,-0.5,1/28/2017
28 January   / Lazio v Chievo / Match Odds,Chievo,Lay,1.05,3,-0.15,1/28/2017
28 January   / Leverkusen v Mgladbach / Match Odds,Mgladbach,Lay,1.42,3,-1.26,1/28/2017
28 January   / Leverkusen v Mgladbach / Match Odds,Mgladbach,Lay,1.36,3,-1.08,1/28/2017
28 January   / Leverkusen v Mgladbach / Match Odds,Mgladbach,Lay,1.35,3,-1.05,1/28/2017
28 January   / Leverkusen v Mgladbach / Match Odds,Mgladbach,Lay,1.2,5,-1,1/28/2017
28 January   / Lyon v Lille / Match Odds,Lille,Lay,2.44,2,-2.88,1/28/2017
28 January   / Lyon v Lille / Match Odds,Lille,Lay,2.12,2,-2.24,1/28/2017
28 January   / Lyon v Lille / Match Odds,Lille,Lay,1.74,2,-1.48,1/28/2017
28 January   / Lyon v Lille / Match Odds,Lille,Lay,1.08,5,-0.4,1/28/2017
28 January   / RB Leipzig v Hoffenheim / Match Odds,RB Leipzig,Back,1.88,4,3.52,1/28/2017
28 January   / RB Leipzig v Hoffenheim / Match Odds,RB Leipzig,Lay,1.1,4,-0.4,1/28/2017
28 January   / RB Leipzig v Hoffenheim / Match Odds,RB Leipzig,Lay,1.1,2.81,-0.28,1/28/2017
28 January   / RB Leipzig v Hoffenheim / Over/Under 2.5 Goals,Over 2.5 Goals,Back,1.83,10,8.3,1/28/2017
28 January   / RB Leipzig v Hoffenheim / Over/Under 2.5 Goals,Over 2.5 Goals,Lay,1.23,8,-1.84,1/28/2017
28 January   / RB Leipzig v Hoffenheim / Over/Under 2.5 Goals,Over 2.5 Goals,Lay,1.24,6.76,-1.62,1/28/2017
28 January   / Villarreal v Granada / Half Time,Villarreal,Back,2.86,3,5.58,1/28/2017
28 January   / Villarreal v Granada / Half Time,Villarreal,Back,5.2,2,8.4,1/28/2017
28 January   / Villarreal v Granada / Half Time,Villarreal,Lay,1.04,17.73,-0.71,1/28/2017
28 January   / Villarreal v Granada / Half Time,Villarreal,Lay,1.04,2,-0.08,1/28/2017
28 January   / Villarreal v Granada / Half Time,Villarreal,Lay,1.04,0.51,-0.02,1/28/2017
28 January   / Wolfsburg v Augsburg / Match Odds,Augsburg,Lay,1.53,2,-1.06,1/28/2017
28 January   / Wolfsburg v Augsburg / Match Odds,Augsburg,Lay,1.12,3,-0.36,1/28/2017
29 January   / Athletic Bilbao v Sporting Gijon / Half Time,Sporting Gijon,Lay,1.31,3,-0.93,1/29/2017
29 January   / Athletic Bilbao v Sporting Gijon / Half Time,Sporting Gijon,Lay,1.11,2,-0.22,1/29/2017
29 January   / Athletic Bilbao v Sporting Gijon / Half Time,Sporting Gijon,Lay,1.1,3,-0.3,1/29/2017
29 January   / Athletic Bilbao v Sporting Gijon / Match Odds,Sporting Gijon,Lay,3.75,2,2,1/29/2017
29 January   / Athletic Bilbao v Sporting Gijon / Match Odds,Sporting Gijon,Back,12,0.68,-0.68,1/29/2017
29 January   / Athletic Bilbao v Sporting Gijon / Match Odds,Athletic Bilbao,Back,1.72,2,1.44,1/29/2017
29 January   / Athletic Bilbao v Sporting Gijon / Match Odds,Athletic Bilbao,Lay,1.12,2,-0.24,1/29/2017
29 January   / Betis v Barcelona / Match Odds,Barcelona,Back,1.53,6,-6,1/29/2017
29 January   / Betis v Barcelona / Match Odds,Barcelona,Back,2.12,2,-2,1/29/2017
29 January   / Betis v Barcelona / Match Odds,Betis,Lay,1.77,3,3,1/29/2017
29 January   / Betis v Barcelona / Match Odds,Betis,Lay,1.57,3,3,1/29/2017
29 January   / Betis v Barcelona / Match Odds,Betis,Lay,1.52,2,2,1/29/2017
29 January   / Betis v Barcelona / Match Odds,Betis,Lay,1.31,3,3,1/29/2017
29 January   / Betis v Barcelona / Match Odds,Barcelona,Lay,8,1.49,1.49,1/29/2017
29 January   / Betis v Barcelona / Match Odds,Betis,Back,20,0.91,-0.91,1/29/2017
29 January   / Betis v Barcelona / Match Odds,The Draw,Lay,1.14,3,-0.42,1/29/2017
29 January   / Cagliari v Bologna / Half Time,The Draw,Lay,1.34,3,-1.02,1/29/2017
29 January   / Cagliari v Bologna / Half Time,The Draw,Lay,1.17,2,-0.34,1/29/2017
29 January   / Cagliari v Bologna / Match Odds,Cagliari,Back,3.1,2,-2,1/29/2017
29 January   / Cagliari v Bologna / Match Odds,Bologna,Lay,1.51,2,2,1/29/2017
29 January   / Cagliari v Bologna / Match Odds,Bologna,Lay,1.52,4,4,1/29/2017
29 January   / Cagliari v Bologna / Match Odds,Bologna,Lay,1.16,3,3,1/29/2017
29 January   / Cagliari v Bologna / Match Odds,The Draw,Lay,1.15,6,-0.9,1/29/2017
29 January   / Crotone v Empoli / Match Odds,Crotone,Lay,1.35,6,-2.1,1/29/2017
29 January   / Crotone v Empoli / Match Odds,Crotone,Lay,1.2,4,-0.8,1/29/2017
29 January   / Espanyol v Sevilla / Match Odds,Espanyol,Lay,1.3,3,-0.9,1/29/2017
29 January   / Espanyol v Sevilla / Over/Under 2.5 Goals,Over 2.5 Goals,Back,2.14,3,3.42,1/29/2017
29 January   / Espanyol v Sevilla / Over/Under 2.5 Goals,Under 2.5 Goals,Back,3.51,1.91,-1.91,1/29/2017
29 January   / Espanyol v Sevilla / Over/Under 2.5 Goals,Over 2.5 Goals,Lay,1.14,3,-0.42,1/29/2017
29 January   / Espanyol v Sevilla / Over/Under 2.5 Goals,Over 2.5 Goals,Back,1.28,2.92,0.82,1/29/2017
29 January   / Fiorentina v Genoa / Match Odds,Fiorentina,Back,2.28,2,-2,1/29/2017
29 January   / Fiorentina v Genoa / Match Odds,Fiorentina,Lay,1.22,8,8,1/29/2017
29 January   / Fiorentina v Genoa / Match Odds,Fiorentina,Back,6.6,0.86,-0.86,1/29/2017
29 January   / Freiburg v Hertha Berlin / Match Odds,Freiburg,Lay,1.16,6,-0.96,1/29/2017
29 January   / Mainz v Dortmund / Match Odds,Dortmund,Back,4.4,2,-2,1/29/2017
29 January   / Mainz v Dortmund / Match Odds,The Draw,Lay,1.07,2,-0.14,1/29/2017
29 January   / Napoli v Palermo / Correct Score,2-1,Back,3.95,2,-2,1/29/2017
29 January   / Napoli v Palermo / Half Time,Palermo,Lay,1.32,3,-0.96,1/29/2017
29 January   / Napoli v Palermo / Half Time,Palermo,Lay,1.13,8,-1.04,1/29/2017
29 January   / Napoli v Palermo / Match Odds,Napoli,Back,2.06,3,-3,1/29/2017
29 January   / Napoli v Palermo / Match Odds,Napoli,Back,2.78,2,-2,1/29/2017
29 January   / Napoli v Palermo / Match Odds,Palermo,Back,55,2,-2,1/29/2017
29 January   / Nice v Guingamp / Match Odds,Nice,Lay,1.41,5,-2.05,1/29/2017
29 January   / Nice v Guingamp / Match Odds,Guingamp,Lay,65,0.1,0.1,1/29/2017
29 January   / Nice v Guingamp / Match Odds,The Draw,Lay,17.5,0.36,0.36,1/29/2017
29 January   / Paris St-G v Monaco / Half Time,The Draw,Lay,1.27,3,-0.81,1/29/2017
29 January   / Paris St-G v Monaco / Half Time,The Draw,Lay,1.18,2,-0.36,1/29/2017
29 January   / Paris St-G v Monaco / Match Odds,Monaco,Back,6.4,2,-2,1/29/2017
29 January   / Paris St-G v Monaco / Match Odds,Monaco,Back,5.3,2,-2,1/29/2017
29 January   / Paris St-G v Monaco / Match Odds,Monaco,Lay,6.6,2,2,1/29/2017
29 January   / Paris St-G v Monaco / Match Odds,Paris St-G,Lay,1.16,6,6,1/29/2017
29 January   / Paris St-G v Monaco / Match Odds,Paris St-G,Lay,1.09,2,2,1/29/2017
